iter	Logloss
0	0.6673002211
1	0.644110935
2	0.6217892092
3	0.5992752792
4	0.5784207813
5	0.559867433
6	0.5421346257
7	0.5266280048
8	0.5109456115
9	0.4966039046
10	0.4840852622
11	0.4718220063
12	0.4611408052
13	0.4511141858
14	0.4409381581
15	0.4315993531
16	0.4229036362
17	0.4148617904
18	0.407955249
19	0.4013913212
20	0.3950370756
21	0.3882128649
22	0.3826708369
23	0.3776776837
24	0.3721413497
25	0.3675728712
26	0.363727897
27	0.3596457898
28	0.3561171083
29	0.3523407779
30	0.3486766946
31	0.3457764797
32	0.3432106546
33	0.3405928819
34	0.3379273856
35	0.3355944924
36	0.333258738
37	0.3316439728
38	0.3294859822
39	0.3276004883
40	0.3260202088
41	0.3240713409
42	0.3226204913
43	0.3208370096
44	0.3195696226
45	0.3183768059
46	0.3168826231
47	0.3155034874
48	0.314542723
49	0.3136790553
50	0.3128364953
51	0.3121175565
52	0.3109591548
53	0.3099666636
54	0.3090300645
55	0.308276254
56	0.3074850536
57	0.306674123
58	0.3060837511
59	0.305509927
60	0.3048424557
61	0.3042512306
62	0.30362026
63	0.3030872445
64	0.3025055016
65	0.3019190622
66	0.3015618406
67	0.3010268657
68	0.3005830432
69	0.300274418
70	0.2998095272
71	0.2993759889
72	0.2989930097
73	0.2985688456
74	0.298226007
75	0.2977899188
76	0.2974053359
77	0.297181353
78	0.2968258472
79	0.2965475414
80	0.2962660388
81	0.2959461732
82	0.295803646
83	0.2955586097
84	0.2953046764
85	0.295066035
86	0.2948190667
87	0.2945672179
88	0.2943524958
89	0.2941705211
90	0.2939555172
91	0.2937350577
92	0.2934594305
93	0.2932411232
94	0.2930116192
95	0.292878673
96	0.2927034822
97	0.2925830273
98	0.2923877898
99	0.2922152896
100	0.2920770518
101	0.2919328942
102	0.291741543
103	0.2915135772
104	0.2913667672
105	0.2912486696
106	0.2911108544
107	0.2910091189
108	0.2908877102
109	0.2908129756
110	0.2906487866
111	0.2905078185
112	0.2903029226
113	0.2901590867
114	0.2900643601
115	0.2899436823
116	0.2898821695
117	0.289756834
118	0.2896670278
119	0.2895607361
120	0.2894562182
121	0.2893721604
122	0.2892858671
123	0.2892005005
124	0.2891128166
125	0.288973507
126	0.2888903651
127	0.2888100358
128	0.288727241
129	0.2886583084
130	0.2885846724
131	0.2884774679
132	0.2883918151
133	0.2882654206
134	0.288214842
135	0.2881164059
136	0.2880516694
137	0.2879726526
138	0.2878188265
139	0.2877339274
140	0.2876155907
141	0.2875041659
142	0.2874234468
143	0.2873145106
144	0.2872395295
145	0.2871890396
146	0.2870915647
147	0.2870043223
148	0.2869605416
149	0.2869528427
150	0.2868801185
151	0.2867934992
152	0.2867359594
153	0.286682632
154	0.286612183
155	0.2865490896
156	0.2864679292
157	0.2864098499
158	0.2863708457
159	0.2863327709
160	0.286278231
161	0.2862072357
162	0.2861235062
163	0.2860386332
164	0.2859583112
165	0.2859120368
166	0.2858440801
167	0.2857625142
168	0.2857044352
169	0.285649742
170	0.2856008498
171	0.2855797653
172	0.2855213646
173	0.2854788415
174	0.285430081
175	0.2853715685
176	0.2853715503
177	0.2852793838
178	0.2852399072
179	0.2851912627
180	0.2851112617
181	0.2850663514
182	0.2850120973
183	0.2849782421
184	0.2849479532
185	0.2849184249
186	0.2848429534
187	0.2847941789
188	0.2847275133
189	0.2847056016
190	0.2846662878
191	0.2846587001
192	0.2845987203
193	0.2845580913
194	0.2844888861
195	0.2844210112
196	0.2843777305
197	0.2843167859
198	0.2842692782
199	0.2842268333
200	0.2841772958
201	0.2841275776
202	0.2840738099
203	0.2839944157
204	0.2839655735
205	0.2839013678
206	0.2838564964
207	0.2838054561
208	0.283723735
209	0.2836952261
210	0.2836081133
211	0.2835825631
212	0.2835106739
213	0.2834673158
214	0.2834029227
215	0.2833794817
216	0.2833212918
217	0.2832486243
218	0.2832135962
219	0.2832011907
220	0.2831675368
221	0.2831418622
222	0.283086997
223	0.2830299289
224	0.28294844
225	0.2829103349
226	0.2828682297
227	0.2828327042
228	0.2828056485
229	0.2828055908
230	0.282758766
231	0.2827377231
232	0.2827123247
233	0.2826477096
234	0.2826229021
235	0.2825709258
236	0.2825180331
237	0.2824916556
