iter	Passed	Remaining
0	266	265987
1	368	183786
2	517	171969
3	761	189636
4	922	183515
5	1168	193509
6	1315	186635
7	1508	187037
8	1667	183582
9	1860	184181
10	2035	183045
11	2188	180161
12	2356	178916
13	2559	180284
14	2712	178140
15	2829	174018
16	3010	174083
17	3202	174733
18	3335	172212
19	3403	166751
20	3541	165091
21	3813	169541
22	4026	171038
23	4179	169977
24	4556	177719
25	4694	175851
26	4818	173662
27	5010	173927
28	5160	172803
29	5381	173986
30	5554	173636
31	5696	172311
32	5879	172297
33	6101	173350
34	6310	173991
35	6456	172879
36	6604	171888
37	6708	169826
38	6876	169432
39	7008	168192
40	7141	167047
41	7296	166434
42	7517	167317
43	7761	168633
44	7919	168063
45	8064	167244
46	8246	167214
47	8421	167023
48	8630	167507
49	8769	166615
50	8921	166018
51	9040	164807
52	9178	163994
53	9361	163995
54	9532	163790
55	9721	163869
56	9898	163753
57	10095	163956
58	10317	164558
59	10443	163607
60	10641	163816
61	10789	163233
62	10915	162348
63	11051	161634
64	11252	161866
65	11370	160904
66	11543	160748
67	11705	160433
68	11855	159957
69	11989	159286
70	12108	158427
71	12297	158500
72	12437	157938
73	12603	157716
74	12739	157126
75	12865	156414
76	13104	157079
77	13337	157652
78	13532	157766
79	13717	157754
80	13855	157202
81	14134	158233
82	14320	158211
83	14581	159012
84	14730	158564
85	14889	158239
86	15129	158769
87	15301	158583
88	15488	158543
89	15679	158537
90	15813	157964
91	16012	158036
92	16219	158183
93	16395	158021
94	16561	157772
95	16701	157274
96	16931	157619
97	17079	157196
98	17211	156643
99	17390	156511
100	17535	156081
101	17697	155811
102	17890	155805
103	18047	155489
104	18215	155261
105	18341	154694
106	18501	154411
107	18717	154592
108	18895	154454
109	19128	154767
110	19318	154719
111	19466	154345
112	19634	154120
113	19894	154620
114	20055	154336
115	20228	154156
116	20389	153879
117	20578	153818
118	20735	153513
119	20959	153702
120	21103	153307
121	21265	153044
122	21446	152916
123	21566	152358
124	21762	152334
125	21936	152163
126	22169	152391
127	22359	152320
128	22493	151874
129	22633	151468
130	22802	151263
131	22954	150940
132	23112	150662
133	23299	150580
134	23447	150236
135	23578	149790
136	23706	149332
137	23916	149389
138	24099	149280
139	24275	149122
140	24412	148725
141	24616	148740
142	24760	148391
143	24946	148292
144	25244	148857
145	25416	148666
146	25605	148582
147	25759	148292
148	25886	147848
149	26010	147393
150	26162	147101
151	26334	146920
152	26473	146556
153	26710	146736
154	26862	146445
155	26999	146073
156	27104	145537
157	27283	145396
158	27503	145472
159	27705	145455
160	27860	145186
161	28026	144979
162	28174	144673
163	28370	144620
164	28503	144243
165	28636	143870
166	28829	143804
167	29039	143813
168	29205	143608
169	29378	143436
170	29519	143107
171	29694	142946
172	29833	142614
